Stage,Section,Order,Character,Script,Voice
2,1,1,Steady,"""뭐야, 이 오싹한 노래소리는. 온몸에 소름이 돋는군."" ",steady_talk_3
2,1,2,Steady,"""오호라, 문이 노래에 반응하다니 신기한걸.""",steady_talk_10
2,1,3,Steady,"""저 버튼을 눌러야 하나본데? 이 쇳덩이가 쓸모 있어졌군.""",steady_talk_8
2,1,4,Steady,"""엄청난 크기의 스피커로군.""",steady_talk_4
2,1,5,Steady,"""여기서 음악이 흘러나온다면 귀가 찢어지겠어.""",steady_talk_4
2,1,6,Steady,"""노래 부르는 취미 따윈 없으니 관둘래.""",steady_gethit_2
2,1,7,Steady,"""흥, 이제 네 노래 같은건 질렸나 보지""",steady_talk_4
2,1,8,Steady,"""흥, 이제 네 노래 같은건 질렸나 보지""",steady_talk_8
2,1,9,Steady,"""큼…아직 문이 호응해주고 있긴 하네.""",steady_talk_4
2,1,10,Steady,"""큼…아직 문이 호응해주고 있긴 하네.""",steady_talk_8
2,1,11,Steady,"""꽤나 기분 나쁜 조명이군, 빨리 지나쳐야겠어.""",steady_talk_3
2,1,12,Steady,"""나쁘지 않은 호흡이군.""",steady_talk_8
2,1,13,Steady,"""여긴 로프가 금방 끊어질 것 같아. 위태로워.""",steady_talk_6
2,1,14,Steady,"""워어어! 조심해!!""",steady_talk_10
