Stage,Section,Order,Character,Script
3,1,1,Steady,"""숲에서의 생존에 필수인 로프와 생태를 관찰하기 위해 필요한 돋보기..이제야 안심이 되는군."""
3,1,1,Steady,"""물총은 뭐하러 챙겨?"""
3,1,2,Steady,"""식물에 더러운 오물이 묻어있군. 뿌리까지 상하기 전에 얼른 씻겨내 줘야겠어."""
3,1,3,Steady,"""여길 지나가려면 이 오물부터 치워야겠어."""
3,1,4,Steady,"""어푸푸, 다신 경험하기 싫은 물 맛이군."""
3,1,5,Steady,"""햇빛을 굴절시켜 마른 덤불에 가져다 대면…"""
3,1,6,Steady,"""확실히 책장 속에 갇혀있는 것보단 낫네."""
3,1,7,Steady,"""윽, 더러운 오물이 잔뜩.. 넬라, 더러우니 밟지 않도록 해."""
3,1,8,Steady,"""이런, 힘을 합쳐 물리치는 수 밖에."""
3,1,9,Steady,"""잔뜩 긴장해놓고선 이건.. 미로인가? 잘 보이는 곳으로 올라가야겠군."""
3,1,10,Steady,"""미로만 탈출이지, 진짜 탈출구는 저기라구."""
3,1,11,Steady,"""문제는 저 머리 세 개 달린 뱀이 가로막고 있다는거지"""
3,1,12,Steady,"""헉..헉.. 간만에 숨이 차는군."""
3,1,13,Steady,"""좋았어, 스테디!"""
