[2022-11-15 오후 2:26:52]현재 스테이지와 섹션 : S0S1
[2022-11-15 오후 2:26:52]불러올 D:/JCW_Git/What's In Your Head/What’s in your head/Assets/StreamingAssets/Dialogs/S0S1_N.csv 파일이 없습니다
[2022-11-15 오후 2:26:52]불러올 D:/JCW_Git/What's In Your Head/What’s in your head/Assets/StreamingAssets/Dialogs/S0S1_E.csv 파일이 없습니다
[2022-11-15 오후 2:26:52]불러올 D:/JCW_Git/What's In Your Head/What’s in your head/Assets/StreamingAssets/Dialogs/S0S1_S.csv 파일이 없습니다
[2022-11-15 오후 2:26:52]There are no audio listeners in the scene. Please ensure there is always one audio listener in the scene
[2022-11-15 오후 2:26:52]There are 2 event systems in the scene. Please ensure there is always exactly one event system in the scene
[2022-11-15 오후 2:26:52]There are no audio listeners in the scene. Please ensure there is always one audio listener in the scene
[2022-11-15 오후 2:26:52]There are 2 event systems in the scene. Please ensure there is always exactly one event system in the scene
[2022-11-15 오후 2:26:53]There are 2 event systems in the scene. Please ensure there is always exactly one event system in the scene
[2022-11-15 오후 2:26:53]There are 2 event systems in the scene. Please ensure there is always exactly one event system in the scene
[2022-11-15 오후 2:26:53]There are 2 event systems in the scene. Please ensure there is always exactly one event system in the scene
[2022-11-15 오후 2:26:53]There are 2 event systems in the scene. Please ensure there is always exactly one event system in the scene
[2022-11-15 오후 2:26:53]There are 2 event systems in the scene. Please ensure there is always exactly one event system in the scene
[2022-11-15 오후 2:26:53]There are 2 event systems in the scene. Please ensure there is always exactly one event system in the scene
[2022-11-15 오후 2:26:53]There are 2 event systems in the scene. Please ensure there is always exactly one event system in the scene
[2022-11-15 오후 2:26:53]There are 2 event systems in the scene. Please ensure there is always exactly one event system in the scene
[2022-11-15 오후 2:26:53]There are 2 event systems in the scene. Please ensure there is always exactly one event system in the scene
[2022-11-15 오후 2:26:53]There are 2 event systems in the scene. Please ensure there is always exactly one event system in the scene
